2	1.4415419267167124e-15
7	-3.2034265038149176e-16
15	9.61027951144475e-16
37	3.2034265038149176e-16
84	-1.6017132519074597e-15
187	0.21441578599284405
421	0.5270131741306147
914	1.128227734401001
2001	1.9384546841910808
4282	3.018266482250924
9177	4.1309207798640415
19570	5.172487463272292
41414	6.135673260257241
87183	7.072815528893029
182236	7.926204475784385
378110	8.666095206992544
773734	9.286065095251805
1555251	9.75839951101806
3030628	10.067334134649755
5616022	10.186671973232267
9550665	10.09967063134157
14022029	9.794770794765995
16008485	9.345241852128446
11868599	9.188000807301211
3957809	10.215949271754045
