2	14.278652509663395
2	14.278652509663395
4	14.278652536045977
6	14.278652561022476
9	14.278652596852858
14	14.278652653706905
22	14.278652739861519
33	14.278652852036489
49	14.278653006607076
74	14.278653234522475
111	14.278653551534395
166	14.278653992930954
248	14.278654606735234
372	14.278655467663636
556	14.278656645432378
831	14.278658257197021
1243	14.278660449206809
1858	14.278663388856865
2778	14.278667289311924
4153	14.278672375822508
6208	14.278678867734477
9280	14.278686913066378
13873	14.278696460576457
20738	14.278707022397676
31000	14.278717267266853
46340	14.278724295385429
69272	14.278722414087447
103552	14.278701083265888
154795	14.278641514322933
231395	14.27851108539801
345901	14.278254246781895
517069	14.277777824664772
772941	14.276927358855867
1155431	14.275449279095602
1727195	14.27293058608786
2581896	14.268703074291466
3859546	14.261691723715538
5769440	14.250175326633231
8624443	14.231409313980427
12892243	14.201032440704866
19271960	14.152134439655777
28808675	14.073791077178935
43064627	13.948760554739813
64375125	13.74985236430382
96231107	13.43417571701655
143850999	12.93394816984099
215035557	12.141565602377408
321445742	10.884575943183977
480512926	8.880812783413065
718294386	5.642732763259534
